Line No,Cat,Sel,Activity,Description,Unit,Qty,Unit Price,Group Code,Group Description,Phase,Trade,Duration Days,Predecessor,Notes
1,GEN,PERM,Permits,Building permit and plan review,EA,1,2500,PHASE_01,1 - General Requirements,1-Preconstruction,General,5,,Includes plan review
2,GEN,SURV,Survey,Property survey and staking,EA,1,1800,PHASE_01,1 - General Requirements,1-Preconstruction,Surveyor,2,1,Lot corners and setbacks
3,GEN,GEOTECH,Soil Test,Geotechnical soil investigation and report,EA,1,2200,PHASE_01,1 - General Requirements,1-Preconstruction,Geotechnical,3,1,Verify 2000 PSF bearing assumed in plans
4,GEN,TERM,Termite Treatment,Termite soil treatment - entire footprint + 2ft perimeter,SF,2200,0.85,PHASE_01,1 - General Requirements,1-Preconstruction,Pest Control,1,8,5-year guarantee required - Very Heavy zone
5,EXC,CLEAR,Site Clearing,Site clearing and grubbing,LS,1,3500,PHASE_02,2 - Site Work & Excavation,2-Sitework,Excavation,2,2,Remove vegetation and debris
6,EXC,EXCA,Excavation,Excavation for footings and crawlspace,CY,120,18,PHASE_02,2 - Site Work & Excavation,2-Sitework,Excavation,3,5,ICF stem wall and sonotube piers
7,EXC,GRADE,Grading,Rough grading - slope away from building 2% min,LS,1,2800,PHASE_02,2 - Site Work & Excavation,2-Sitework,Excavation,2,5,Per civil engineer drawings
8,EXC,BKFL,Backfill,Backfill and compaction - 95% density ASTM D698,CY,80,22,PHASE_02,2 - Site Work & Excavation,2-Sitework,Excavation,2,18,6-8 inch lifts - clean fill only
9,EXC,GRVL,Crushed Stone,4 inch crushed stone base - garage and slabs,CY,8,65,PHASE_02,2 - Site Work & Excavation,2-Sitework,Excavation,1,8,Under vapor barrier
10,CON,ICF,Foundation Wall,8 inch ICF stem wall with #4 vert @ 24 in OC,LF,162,85,PHASE_03,3 - Foundation,3-Foundation,Concrete,5,6,Straight ICF forms - includes rebar
11,CON,FTG,Continuous Footing,16x8 continuous footing - 3 #5 bar cont with #4 @ 12 in OC,LF,162,28,PHASE_03,3 - Foundation,3-Foundation,Concrete,3,6,Pour before stem wall
12,CON,SONO,Sonotube Piers,18x48 sonotubes with Bigfoot 36 in footings - 4 #5 vert rebar,EA,8,450,PHASE_03,3 - Foundation,3-Foundation,Concrete,2,6,Simpson CB66 post bases
13,CON,PIER,Interior Bearing Piers,24x24x8 footings with 4 #5 bar and #4 @ 8 in OC,EA,4,320,PHASE_03,3 - Foundation,3-Foundation,Concrete,1,6,4x4 SPF#2 posts
14,CON,SLAB,Garage Slab,4 inch concrete slab on grade with 6x6 W1.4 WWF,SF,576,8.5,PHASE_03,3 - Foundation,3-Foundation,Concrete,2,10,6mil poly vapor barrier on 4 inch stone
15,CON,REBAR,Rebar Package,#3 #4 #5 rebar - foundation and piers,LF,1600,1.85,PHASE_03,3 - Foundation,3-Foundation,Concrete,2,6,Cut bend and tie
16,CON,ANCHOR,Anchor Bolts,1/2 and 5/8 dia anchor bolts with washers,EA,70,8.5,PHASE_03,3 - Foundation,3-Foundation,Concrete,1,10,Galvanized - set in wet concrete
17,CON,WP,Waterproofing,Foundation waterproofing membrane - footing to grade,SF,650,4.25,PHASE_03,3 - Foundation,3-Foundation,Waterproofing,2,10,Bituminous membrane
18,CON,DRAIN,Drainage,4 inch perforated drain pipe with gravel and filter cloth,LF,162,18,PHASE_03,3 - Foundation,3-Foundation,Plumbing,2,10,Drain to daylight or sump
19,CON,PARG,Parging,Portland cement parging on exterior stem wall,SF,650,3.5,PHASE_03,3 - Foundation,3-Foundation,Concrete,2,17,3/8 inch minimum
20,CON,VPOLY,Vapor Barrier,6 mil WP membrane on crawlspace grade,SF,1540,0.45,PHASE_03,3 - Foundation,3-Foundation,General,1,10,Clean compacted natural grade
21,FRM,FJ12,Floor Joists,2x12 SPF#1 floor joists @ 16 in OC,BF,3000,2.85,PHASE_04,4 - Floor Framing,4-Framing,Framing,5,19,Crown edge up - various spans
22,FRM,GLB14,Glulam Beams 14,3.5x14 GLB floor beams,EA,8,485,PHASE_04,4 - Floor Framing,4-Framing,Framing,2,19,Grid lines 2 3 5
23,FRM,GLB12,Glulam Beams 12,3.5x12 GLB floor beams,EA,4,420,PHASE_04,4 - Floor Framing,4-Framing,Framing,1,19,Grid line 6
24,FRM,GLB105,Glulam Beam 10.5,3.5x10.5 GLB deck beam,EA,1,380,PHASE_04,4 - Floor Framing,4-Framing,Framing,1,19,Deck support
25,FRM,POST6,Posts 6x6,6x6 SPF#2 posts on sonotube piers,EA,8,85,PHASE_04,4 - Floor Framing,4-Framing,Framing,1,12,Simpson CB66 connection
26,FRM,POST4,Posts 4x4,4x4 SPF#2 interior bearing posts,EA,4,45,PHASE_04,4 - Floor Framing,4-Framing,Framing,1,13,On 24x24 footings
27,FRM,SUBFL,Subfloor,3/4 inch T&G plywood subfloor - glued and nailed,SF,1600,3.25,PHASE_04,4 - Floor Framing,4-Framing,Framing,3,21,8d nails @ 4 in OC edges 6 in OC field
28,FRM,XBRDG,X-Bridging,Cross bridging between floor joists,LF,400,2.1,PHASE_04,4 - Floor Framing,4-Framing,Framing,1,21,At mid-span
29,FRM,EXT26,Exterior Walls,2x6 @ 16 in OC exterior stud walls - 9ft,LF,162,32,PHASE_05,5 - Wall Framing,4-Framing,Framing,6,27,Stud grade - double top plate
30,FRM,INT24,Interior Walls,2x4 @ 16 in OC interior partition walls,LF,180,18,PHASE_05,5 - Wall Framing,4-Framing,Framing,4,27,Stud grade
31,FRM,HDRS,Headers and Lintels,LVL and dimensional lumber headers at all openings,EA,18,285,PHASE_05,5 - Wall Framing,4-Framing,Framing,2,29,Per lintel schedule S0 - sized by span
32,FRM,DTOP,Double Top Plate,Double top plate with 48 inch lap splices,LF,340,4.5,PHASE_05,5 - Wall Framing,4-Framing,Framing,1,29,Simpson ST6224 straps at splices
33,FRM,SOLE,Sole Plates,Pressure treated sole plates on concrete,LF,200,5.25,PHASE_05,5 - Wall Framing,4-Framing,Framing,1,27,Ground contact 0.40 lb/cf
34,FRM,SHTH,Wall Sheathing,7/16 inch OSB exterior wall sheathing,SF,1500,2.15,PHASE_05,5 - Wall Framing,4-Framing,Framing,3,29,8d nails @ 6 in OC edges 12 in OC field
35,FRM,RAFT14,Roof Rafters Main,2x14 engineered rafters @ 16 in OC - main roof,EA,35,125,PHASE_06,6 - Roof Framing,4-Framing,Framing,5,34,36ft span - 2:12 pitch
36,FRM,RAFT8,Roof Rafters Garage,2x8 SPF#1 rafters @ 16 in OC - garage roof,EA,20,45,PHASE_06,6 - Roof Framing,4-Framing,Framing,2,34,Garage wing
37,FRM,RIDGE,Ridge Board,2x10 SPF#2 ridge board,LF,46,4.8,PHASE_06,6 - Roof Framing,4-Framing,Framing,1,35,Full building length
38,FRM,GLB16,Roof Beams,3.5x16 GLB roof beams,EA,4,580,PHASE_06,6 - Roof Framing,4-Framing,Framing,2,34,Primary roof support
39,FRM,RSHTH,Roof Sheathing,1/2 inch CDX plywood roof sheathing,SF,2200,2.35,PHASE_06,6 - Roof Framing,4-Framing,Framing,3,35,8d ring shank - 4 in OC edges at perimeter
40,FRM,HCLIP,Hurricane Clips,Simpson H2.5 hurricane clips at each rafter,EA,55,4.25,PHASE_06,6 - Roof Framing,4-Framing,Framing,1,35,Required - 115 MPH wind zone
41,FRM,BLKG,Blocking,Rafter blocking and vented eave blocking,LF,200,3.5,PHASE_06,6 - Roof Framing,4-Framing,Framing,1,35,Vented at eaves
42,FRM,CONN,Simpson Connectors,CS16 straps - H6 ties - SP2 clips - HUFT - CC connectors,EA,100,6.5,PHASE_05,5 - Wall Framing,4-Framing,Framing,2,29,All structural connections per S0
43,ROF,METAL,Standing Seam Metal,Standing seam metal roofing,SF,2200,9.5,PHASE_07,7 - Roofing,5-Dry-In,Roofing,5,39,Primary roof finish per sections A6
44,ROF,FELT,Roofing Underlayment,30 lb felt underlayment,SF,2400,0.65,PHASE_07,7 - Roofing,5-Dry-In,Roofing,1,39,Lapped per spec
45,ROF,DRIP,Drip Edge,Aluminum drip edge at all roof edges,LF,200,3.25,PHASE_07,7 - Roofing,5-Dry-In,Roofing,1,39,Non-corrosive
46,ROF,ICE,Ice and Water Shield,Self-adhering polymer modified bitumen - eave to 24 in inside wall,SF,200,4.5,PHASE_07,7 - Roofing,5-Dry-In,Roofing,1,39,Low slope 2:12 - critical
